total_cells,training_time
8174,13.0397357940674
9594,11.0666451454163
13375,12.3882482051849
20538,12.9365122318268
21248,15.4775848388672
21679,13.6138474941254
22545,15.6125302314758
28620,15.6019668579102
28840,14.5270020961761
29808,15.0920114517212
29808,16.3427128791809
30360,17.1055819988251
30660,14.7301721572876
30660,17.721785068512
9125,12.133955717086792
9828,14.661633729934692
22317,14.75469160079956
22490,15.4876708984375
22490,13.141847610473633
29329,13.604875326156616
29329,12.585437774658203
29329,13.593383312225342
29329,16.551939249038696
29329,16.30214262008667
29751,14.617940664291382
9875,11.29844617843628
14170,13.3380286693573
22968,13.251612663269043
23142,13.04822826385498
26467,16.230393409729004
29078,14.562088012695312
29078,13.536975145339966
29565,14.312449216842651
29565,14.225329875946045
30660,13.814960479736328
30660,14.375362634658813
8250,13.440971374511719
13440,14.77393627166748
20020,13.291420221328735
28215,13.092308044433594
28215,16.911595821380615
28755,15.497722387313843
29181,16.203664779663086
29181,14.758936405181885
29181,16.178528547286987
29181,16.21847701072693
29181,12.987302303314209
